movie_id,title,genre,description
1,Who Framed Roger Rabbit?,Adventure|Animation|Film-Noir,<Who Framed Roger Rabbit?> is a live-action/animated film set in 1947 Los Angeles.
2,Touch of Evil,Crime|Film-Noir|Thriller,<Touch of Evil> is a film noir crime thriller directed by Orson Welles.
3,Alien³,Action|Horror|Sci-Fi|Thriller,"<Alien³> is a science fiction horror movie that follows the story of Ellen Ripley, the sole survivor of an alien attack on her spaceship."
4,"American Werewolf in London, An",Horror,<An American Werewolf in London> is a horror-comedy movie about two American tourists who are attacked by a werewolf while backpacking in England.
5,Footloose,Drama,<Footloose> is a 1984 movie about a teenager named Ren McCormack who moves from Chicago to a small town where dancing and rock music have been banned.
6,Ever After: A Cinderella Story,Drama|Romance,<Ever After: A Cinderella Story> is a retelling of the classic fairy tale of Cinderella.
7,Licence to Kill,Action,<Licence to Kill> is a James Bond movie released in 1989.
8,X-Men,Action|Sci-Fi,<X-Men > is a superhero film based on the Marvel Comics team of the same name.
9,"Honey, I Shrunk the Kids",Adventure|Children's|Comedy|Fantasy|Sci-Fi,"<Honey, I Shrunk the Kids> is a 1989 science-fiction comedy film about an inventor who accidentally shrinks his and his neighbor's kids to a tiny size with his shrinking machine."
10,Chinatown,Film-Noir|Mystery|Thriller,<Chinatown> is a neo-noir mystery film directed by Roman Polanski and starring Jack Nicholson and Faye Dunaway.
11,Thunderball,Action,<Thunderball> is a 1965 British spy film directed by Terence Young and starring Sean Connery as James Bond.
12,Duck Soup,Comedy|War,<Duck Soup> is a classic comedy film from 1933 starring the Marx Brothers.
13,Stand by Me,Adventure|Comedy|Drama,<Stand by Me> is a coming-of-age film directed by Rob Reiner.
14,"Sex, Lies, and Videotape",Drama,"<Sex, Lies, and Videotape> is a drama film that explores the complex relationships and sexual dynamics between four characters: Ann, her husband John, her old friend Graham, and Graham's current lover Cynthia."
15,Aladdin,Animation|Children's|Comedy|Musical,<Aladdin > is an animated musical film produced by Disney.
16,Toy Story,Animation|Children's|Comedy,Toy Story is a computer-animated comedy film that tells the story of a group of toys belonging to a young boy named Andy.
17,Jumanji,Adventure|Children's|Fantasy,"<Jumanji>  is a fantasy adventure film about a magical board game that unleashes wild and dangerous jungle creatures upon a small town when two siblings, Peter and Judy, start playing it."
18,Lifeboat,Drama|Thriller|War,<Lifeboat> is a 1944 American survival and psychological thriller film directed by Alfred Hitchcock and starring Tallulah Bankhead and William Bendix.
19,Shadow of a Doubt,Film-Noir|Thriller,<Shadow of a Doubt> is a classic thriller directed by Alfred Hitchcock.
20,Shane,Drama|Western,<Shane> is a classic Western movie from 1953 that tells the story of a mysterious gunslinger named Shane who comes to a small town and becomes embroiled in a conflict between a group of homesteaders and a powerful cattle baron who wants to drive them off their land.
21,Suspicion,Mystery|Thriller,<Suspicion> is a psychological thriller film directed by Alfred Hitchcock and starring Cary Grant and Joan Fontaine.
22,Charlotte's Web,Animation|Children's,<Charlotte's Web> is a children's movie based on the classic novel by E.
23,Tie Me Up! Tie Me Down!,Drama,<Tie Me Up! Tie Me Down!> is a Spanish film directed by Pedro Almodovar.
24,Out of the Past,Film-Noir,"<Out of the Past> is a film noir from 1947 that tells the story of a private investigator who is hired by a wealthy man to find his girlfriend, who has run away with a large sum of money."
25,She's the One,Comedy|Romance,<She's the One> is a romantic comedy-drama film directed by Edward Burns.
26,One Flew Over the Cuckoo's Nest,Drama,"<One Flew Over the Cuckoo's Nest> is a classic drama film that tells the story of Randle McMurphy, a rebellious criminal who is sent to a mental institution to avoid jail time."
27,Arsenic and Old Lace,Comedy|Mystery|Thriller,<Arsenic and Old Lace> is a black comedy film about two elderly sisters who are serial killers and their nephew who discovers their dark secret on the day of his wedding.
28,Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Drama|Sci-Fi|War,<Star Wars: Episode V - The Empire Strikes Back> is the second film in the original Star Wars trilogy.
